id,distance,correct,persistent_prediction,persistent_correct,reset_prediction,reset_correct,plain_prediction,plain_correct
48,2,FALCON 2193,FALCON 2193,1,FALCON 2193,1,FALCON 2193,1
49,2,TANGO 1090,ATLAS 9486,0,ATLAS 9486,0,ATLAS 9486,0
50,2,ORION 8478,NEBULA 9702,0,NEBULA 9702,0,NEBULA 9702,0
51,2,KAPPA 8305,TANGO 8777,0,TANGO 8777,0,KAPPA 8305,1
52,2,EMBER 8206,EMBER 8206,1,EMBER 8206,1,EMBER 8206,1
53,2,NOVA 7275,ATLAS 4505,0,ATLAS 4505,0,ATLAS 4505,0
54,2,LUNAR 2020,FALCON 7232,0,FALCON 7232,0,FALCON 7232,0
55,2,EMBER 7389,FALCON 4613,0,FALCON 4613,0,FALCON 4613,0
56,2,LUNAR 8956,ATLAS 3704,0,ATLAS 3704,0,ATLAS 3704,0
57,2,LUNAR 1444,LUNAR 1444,1,LUNAR 1444,1,LUNAR 1444,1
58,2,NOVA 8449,LUNAR 5133,0,LUNAR 5133,0,LUNAR 5133,0
59,2,ATLAS 9837,NEBULA 1659,0,NEBULA 1659,0,NEBULA 1659,0
60,2,RAVEN 3496,FALCON 4571,0,FALCON 4571,0,FALCON 4571,0
61,4,SIGMA 3749,TANGO 6096,0,TANGO 6096,0,TANGO 6096,0
62,4,LUNAR 4249,NEBULA 2983,0,NEBULA 2983,0,NEBULA 2983,0
63,4,NEBULA 7071,NEBULA 7071,1,NEBULA 7071,1,NEBULA 7071,1
64,4,SIGMA 8532,ATLAS 3506,0,ATLAS 3506,0,ATLAS 3506,0
65,4,DELTA 8136,ATLAS 5397,0,ATLAS 5397,0,ATLAS 5397,0
66,4,FALCON 7209,FALCON 7209,1,FALCON 7209,1,FALCON 7209,1
67,4,SIGMA 5581,FALCON 5526,0,FALCON 5526,0,FALCON 5526,0
68,4,DELTA 4937,NEBULA 9041,0,NEBULA 9041,0,NEBULA 9041,0
69,4,LUNAR 4986,LUNAR 4986,1,LUNAR 4986,1,LUNAR 4986,1
70,4,EMBER 6023,EMBER 6023,1,EMBER 6023,1,EMBER 6023,1
71,4,ATLAS 8933,FALCON 5636,0,FALCON 5636,0,FALCON 5636,0
72,4,TANGO 5952,RAVEN 9751,0,RAVEN 9751,0,RAVEN 9751,0
73,4,NEBULA 9042,NEBULA 9042,1,NEBULA 9042,1,NEBULA 9042,1
74,4,RAVEN 5136,RAVEN 5136,1,RAVEN 5136,1,RAVEN 5136,1
75,4,FALCON 5978,FALCON 4697,0,FALCON 4697,0,FALCON 4697,0
76,4,EMBER 8025,FALCON 2625,0,FALCON 2625,0,FALCON 2625,0
77,4,TANGO 4929,TANGO 1043,0,TANGO 1043,0,TANGO 1043,0
78,4,NOVA 5720,ATLAS 5632,0,ATLAS 5632,0,ATLAS 5632,0
79,4,LUNAR 2880,NEBULA 3441,0,NEBULA 3441,0,NEBULA 3441,0
80,4,EMBER 5728,DELTA 5982,0,DELTA 5982,0,DELTA 5982,0
