id,distance,correct,persistent_prediction,persistent_correct,reset_prediction,reset_correct,plain_prediction,plain_correct
50,1,ORION 8478,NEBULA 9702,0,NEBULA 9702,0,NEBULA 9702,0
51,2,KAPPA 8305,TANGO 8777,0,TANGO 8777,0,KAPPA 8305,1
52,2,EMBER 8206,EMBER 8206,1,EMBER 8206,1,EMBER 8206,1
53,2,NOVA 7275,ATLAS 4505,0,ATLAS 4505,0,ATLAS 4505,0
54,2,LUNAR 2020,FALCON 7232,0,FALCON 7232,0,FALCON 7232,0
55,2,EMBER 7389,FALCON 4613,0,FALCON 4613,0,FALCON 4613,0
56,2,LUNAR 8956,ATLAS 3704,0,ATLAS 3704,0,ATLAS 3704,0
57,2,LUNAR 1444,LUNAR 1444,1,LUNAR 1444,1,LUNAR 1444,1
58,2,NOVA 8449,LUNAR 5133,0,LUNAR 5133,0,LUNAR 5133,0
59,2,ATLAS 9837,NEBULA 1659,0,NEBULA 1659,0,NEBULA 1659,0
60,2,RAVEN 3496,FALCON 4571,0,FALCON 4571,0,FALCON 4571,0
61,2,SIGMA 3749,TANGO 6096,0,TANGO 6096,0,TANGO 6096,0
62,2,LUNAR 4249,NEBULA 2983,0,NEBULA 2983,0,NEBULA 2983,0
63,2,NEBULA 7071,NEBULA 7071,1,NEBULA 7071,1,NEBULA 7071,1
64,2,SIGMA 8532,ATLAS 3506,0,ATLAS 3506,0,ATLAS 3506,0
65,2,DELTA 8136,ATLAS 5397,0,ATLAS 5397,0,ATLAS 5397,0
66,2,FALCON 7209,FALCON 7209,1,FALCON 7209,1,FALCON 7209,1
67,2,SIGMA 5581,FALCON 5526,0,FALCON 5526,0,FALCON 5526,0
68,2,DELTA 4937,NEBULA 9041,0,NEBULA 9041,0,NEBULA 9041,0
69,2,LUNAR 4986,LUNAR 4986,1,LUNAR 4986,1,LUNAR 4986,1
70,2,EMBER 6023,EMBER 6023,1,EMBER 6023,1,EMBER 6023,1
71,2,ATLAS 8933,FALCON 5636,0,FALCON 5636,0,FALCON 5636,0
72,2,TANGO 5952,RAVEN 9751,0,RAVEN 9751,0,RAVEN 9751,0
73,2,NEBULA 9042,NEBULA 9042,1,NEBULA 9042,1,NEBULA 9042,1
74,2,RAVEN 5136,RAVEN 5136,1,RAVEN 5136,1,RAVEN 5136,1
75,2,FALCON 5978,FALCON 4697,0,FALCON 4697,0,FALCON 4697,0
76,2,EMBER 8025,FALCON 2625,0,FALCON 2625,0,FALCON 2625,0
77,2,TANGO 4929,TANGO 1043,0,TANGO 1043,0,TANGO 1043,0
78,2,NOVA 5720,ATLAS 5632,0,ATLAS 5632,0,ATLAS 5632,0
79,2,LUNAR 2880,NEBULA 3441,0,NEBULA 3441,0,NEBULA 3441,0
80,2,EMBER 5728,DELTA 5982,0,DELTA 5982,0,DELTA 5982,0
81,2,DELTA 2317,FALCON 1653,0,FALCON 1653,0,FALCON 1653,0
82,2,NEBULA 1339,FALCON 1659,0,FALCON 1659,0,FALCON 1659,0
83,2,FALCON 8141,NEBULA 9056,0,NEBULA 9056,0,NEBULA 9056,0
84,2,TANGO 6403,KAPPA 1601,0,KAPPA 1601,0,KAPPA 1601,0
85,2,EMBER 6296,KAPPA 1018,0,KAPPA 1018,0,KAPPA 1018,0
86,2,NOVA 9494,NEBULA 8242,0,NEBULA 8242,0,NEBULA 8242,0
87,2,EMBER 8178,NEBULA 4920,0,NEBULA 4920,0,NEBULA 4920,0
88,2,KAPPA 7684,KAPPA 7684,1,KAPPA 7684,1,KAPPA 7684,1
89,2,KAPPA 5479,LUNAR 8905,0,LUNAR 8905,0,LUNAR 8905,0
90,2,ORION 5526,LUNAR 6568,0,LUNAR 6568,0,LUNAR 6568,0
91,2,TANGO 8316,KAPPA 9903,0,KAPPA 9903,0,KAPPA 9903,0
92,2,NOVA 4912,FALCON 7274,0,FALCON 7274,0,FALCON 7274,0
93,2,LUNAR 3492,FALCON 6439,0,FALCON 6439,0,FALCON 6439,0
94,2,KAPPA 8486,LUNAR 3529,0,LUNAR 3529,0,LUNAR 3529,0
95,2,NEBULA 2315,NEBULA 2315,1,NEBULA 2315,1,NEBULA 2315,1
96,2,NOVA 5708,NEBULA 2646,0,NEBULA 2646,0,NEBULA 2646,0
97,2,RAVEN 1753,RAVEN 1753,1,RAVEN 1753,1,RAVEN 1753,1
98,2,FALCON 3950,FALCON 3950,1,FALCON 3950,1,FALCON 3950,1
99,2,NOVA 8555,NEBULA 1153,0,NEBULA 1153,0,NEBULA 5161,0
100,2,ORION 8237,NEBULA 7951,0,NEBULA 7951,0,NEBULA 7951,0
101,4,LUNAR 8916,LUNAR 6881,0,LUNAR 6881,0,LUNAR 6881,0
102,4,EMBER 1132,FALCON 1803,0,FALCON 1803,0,FALCON 1803,0
103,4,FALCON 5106,NEBULA 1645,0,NEBULA 1645,0,NEBULA 3240,0
104,4,FALCON 6977,FALCON 6977,1,FALCON 6977,1,FALCON 6977,1
105,4,KAPPA 6994,EMBER 8894,0,EMBER 8894,0,EMBER 8894,0
106,4,ORION 8673,KAPPA 6992,0,KAPPA 6992,0,KAPPA 6992,0
107,4,EMBER 9791,EMBER 9791,1,EMBER 9791,1,EMBER 9791,1
108,4,DELTA 1410,NEBULA 2035,0,NEBULA 2035,0,NEBULA 2035,0
109,4,NEBULA 7689,EMBER 9071,0,EMBER 9071,0,EMBER 9071,0
110,4,KAPPA 3222,LUNAR 3531,0,LUNAR 3531,0,KAPPA 3222,1
111,4,DELTA 7686,EMBER 1536,0,EMBER 1536,0,EMBER 1536,0
112,4,ORION 7018,EMBER 4109,0,EMBER 4109,0,EMBER 4109,0
113,4,NEBULA 4475,NEBULA 1349,0,NEBULA 1349,0,NEBULA 1349,0
114,4,FALCON 4538,FALCON 4538,1,FALCON 4538,1,FALCON 4538,1
115,4,TANGO 2801,NEBULA 1422,0,NEBULA 1422,0,NEBULA 1422,0
116,4,EMBER 1858,EMBER 1858,1,TANGO 7897,0,TANGO 7897,0
117,4,KAPPA 2786,KAPPA 2786,1,KAPPA 2786,1,NOVA 1710,0
118,4,RAVEN 8847,LUNAR 7984,0,LUNAR 7984,0,LUNAR 7984,0
119,4,FALCON 3430,EMBER 9984,0,EMBER 9984,0,EMBER 9984,0
120,4,DELTA 9282,FALCON 8048,0,FALCON 8048,0,FALCON 8048,0
121,4,LUNAR 6553,LUNAR 2557,0,LUNAR 2557,0,LUNAR 2557,0
122,4,SIGMA 3500,NEBULA 8770,0,NEBULA 8770,0,NEBULA 8770,0
123,4,TANGO 1982,FALCON 6400,0,FALCON 6400,0,FALCON 6400,0
124,4,EMBER 6119,FALCON 9313,0,FALCON 9313,0,FALCON 9313,0
125,4,SIGMA 7022,FALCON 4705,0,FALCON 4705,0,FALCON 4705,0
126,4,EMBER 6062,EMBER 6062,1,EMBER 6062,1,EMBER 6062,1
127,4,ORION 9691,LUNAR 8432,0,LUNAR 8432,0,LUNAR 8432,0
128,4,FALCON 2391,FALCON 2391,1,FALCON 2391,1,FALCON 2391,1
129,4,DELTA 8242,LUNAR 5475,0,LUNAR 5475,0,LUNAR 5475,0
130,4,NEBULA 8972,KAPPA 6053,0,KAPPA 6053,0,KAPPA 6053,0
131,4,NOVA 3248,EMBER 5742,0,EMBER 5742,0,EMBER 5742,0
132,4,LUNAR 9725,LUNAR 9725,1,LUNAR 9725,1,ATLAS 4770,0
133,4,DELTA 2275,FALCON 7626,0,FALCON 7626,0,FALCON 7626,0
134,4,RAVEN 6321,RAVEN 6321,1,RAVEN 6321,1,RAVEN 6321,1
135,4,FALCON 7560,FALCON 7560,1,FALCON 7560,1,FALCON 7560,1
136,4,ORION 9363,NEBULA 2868,0,NEBULA 2868,0,NEBULA 2868,0
137,4,NOVA 2684,FALCON 3504,0,FALCON 3504,0,FALCON 3504,0
138,4,DELTA 8354,NEBULA 6179,0,NEBULA 6179,0,NEBULA 6179,0
139,4,NEBULA 5961,NEBULA 5961,1,NEBULA 5961,1,NEBULA 5961,1
140,4,RAVEN 7041,NEBULA 2479,0,NEBULA 2479,0,NEBULA 2479,0
141,4,DELTA 4084,RAVEN 8381,0,RAVEN 8381,0,RAVEN 8381,0
142,4,KAPPA 3827,ATLAS 8172,0,ATLAS 8172,0,ATLAS 8172,0
143,4,EMBER 7347,NEBULA 1857,0,NEBULA 6482,0,NEBULA 6482,0
144,4,KAPPA 7333,EMBER 5128,0,KAPPA 7333,1,KAPPA 7333,1
145,4,NEBULA 7421,NEBULA 7421,1,NEBULA 7421,1,NEBULA 7421,1
146,4,NEBULA 7937,NEBULA 7937,1,NEBULA 7937,1,NEBULA 7937,1
147,4,NOVA 4711,TANGO 3538,0,TANGO 3538,0,NOVA 4711,1
148,4,FALCON 3147,FALCON 3147,1,FALCON 3147,1,FALCON 3147,1
149,4,SIGMA 4891,ATLAS 8355,0,ATLAS 8355,0,ATLAS 8355,0
150,4,NOVA 7026,NEBULA 8218,0,NEBULA 8218,0,NEBULA 8218,0
151,8,FALCON 3267,FALCON 3267,1,NEBULA 8873,0,FALCON 3267,1
152,8,TANGO 5469,TANGO 5469,1,TANGO 5469,1,TANGO 5469,1
153,8,LUNAR 1872,LUNAR 1872,1,LUNAR 1872,1,LUNAR 1872,1
154,8,SIGMA 2623,RAVEN 5700,0,RAVEN 5700,0,RAVEN 5700,0
155,8,ATLAS 8685,EMBER 4533,0,EMBER 4533,0,EMBER 4533,0
156,8,ORION 5720,NOVA 5934,0,NOVA 7878,0,NOVA 5934,0
157,8,DELTA 9782,FALCON 4963,0,FALCON 4963,0,FALCON 4963,0
158,8,FALCON 6780,FALCON 6780,1,FALCON 6780,1,FALCON 6780,1
159,8,LUNAR 8702,ATLAS 1266,0,ATLAS 1266,0,ATLAS 1266,0
160,8,NOVA 2698,FALCON 6447,0,FALCON 6447,0,FALCON 6447,0
161,8,NEBULA 8612,NEBULA 3986,0,NEBULA 3986,0,NEBULA 3986,0
162,8,NOVA 1717,NOVA 1686,0,NOVA 1686,0,NOVA 1686,0
163,8,NEBULA 4131,NEBULA 4131,1,NEBULA 4131,1,NEBULA 4131,1
164,8,ATLAS 8204,ATLAS 8204,1,ATLAS 8204,1,ATLAS 8204,1
165,8,ORION 7955,FALCON 3956,0,FALCON 3956,0,FALCON 3956,0
166,8,SIGMA 5843,FALCON 7981,0,FALCON 7981,0,FALCON 7981,0
167,8,ATLAS 6776,FALCON 8126,0,FALCON 8126,0,FALCON 8126,0
168,8,RAVEN 3339,FALCON 8179,0,FALCON 8179,0,RAVEN 3068,0
169,8,FALCON 1530,FALCON 1530,1,FALCON 1530,1,FALCON 1530,1
170,8,KAPPA 7012,NEBULA 5566,0,NEBULA 5566,0,NEBULA 5566,0
171,8,DELTA 9482,ATLAS 8311,0,ATLAS 8311,0,ATLAS 8311,0
172,8,ATLAS 9047,ATLAS 9047,1,ATLAS 9047,1,ATLAS 9047,1
173,8,NEBULA 6692,NEBULA 6692,1,NEBULA 6692,1,NEBULA 6692,1
174,8,SIGMA 9335,NOVA 9094,0,NOVA 9094,0,NOVA 9094,0
175,8,DELTA 3126,FALCON 2412,0,FALCON 2412,0,FALCON 2412,0
176,8,TANGO 6194,NEBULA 2215,0,NEBULA 2215,0,NEBULA 2215,0
177,8,TANGO 8088,TANGO 5982,0,TANGO 5982,0,TANGO 5982,0
178,8,ATLAS 4694,EMBER 4216,0,EMBER 4216,0,EMBER 4216,0
179,8,FALCON 9740,FALCON 9740,1,FALCON 9740,1,FALCON 9740,1
180,8,FALCON 1674,FALCON 1674,1,FALCON 1674,1,FALCON 1674,1
181,8,DELTA 9938,EMBER 5949,0,EMBER 5949,0,NEBULA 7653,0
182,8,ATLAS 1981,LUNAR 8933,0,LUNAR 8933,0,LUNAR 8933,0
183,8,SIGMA 6231,LUNAR 3142,0,LUNAR 3142,0,LUNAR 3142,0
184,8,DELTA 3007,EMBER 8366,0,EMBER 8366,0,EMBER 8366,0
185,8,NOVA 3616,NOVA 3610,0,NOVA 3610,0,NOVA 3610,0
186,8,DELTA 1379,DELTA 1379,1,DELTA 1379,1,DELTA 1379,1
187,8,EMBER 9108,FALCON 8710,0,FALCON 8710,0,FALCON 8710,0
188,8,ATLAS 6992,ATLAS 6992,1,ATLAS 6992,1,ATLAS 6992,1
189,8,ORION 7329,FALCON 2946,0,FALCON 2946,0,FALCON 2946,0
190,8,SIGMA 6555,FALCON 9341,0,FALCON 9341,0,FALCON 9341,0
191,8,RAVEN 1637,RAVEN 1637,1,RAVEN 1637,1,RAVEN 1637,1
192,8,TANGO 7438,FALCON 5902,0,FALCON 5902,0,FALCON 5902,0
193,8,DELTA 1272,NEBULA 2795,0,NEBULA 2795,0,NEBULA 2795,0
194,8,EMBER 4728,FALCON 8871,0,FALCON 8871,0,FALCON 8871,0
195,8,RAVEN 2800,RAVEN 2800,1,RAVEN 2800,1,RAVEN 2800,1
196,8,LUNAR 9221,FALCON 8726,0,FALCON 8726,0,FALCON 8726,0
197,8,NEBULA 8837,NEBULA 8837,1,NEBULA 8837,1,NEBULA 8837,1
198,8,NEBULA 5331,FALCON 8932,0,FALCON 8932,0,NEBULA 5331,1
199,8,ATLAS 4396,ATLAS 9011,0,ATLAS 9011,0,ATLAS 9011,0
200,8,LUNAR 6654,ATLAS 2294,0,ATLAS 2294,0,RAVEN 5712,0
