id,distance,correct,persistent_prediction,persistent_correct,reset_prediction,reset_correct,plain_prediction,plain_correct
108,1,EMBER 8707,EMBER 3244,0,EMBER 3244,0,EMBER 3244,0
109,1,SIGMA 4811,FALCON 8176,0,FALCON 8176,0,RAVEN 1338,0
110,1,NEBULA 7401,NEBULA 7401,1,NEBULA 7401,1,NEBULA 7401,1
111,1,NOVA 8254,FALCON 6083,0,FALCON 6083,0,FALCON 6083,0
112,1,SIGMA 9345,FALCON 7015,0,FALCON 7015,0,FALCON 7015,0
113,1,TANGO 8125,LUNAR 9077,0,LUNAR 9077,0,LUNAR 9077,0
114,1,RAVEN 4432,NEBULA 4740,0,NEBULA 4740,0,NEBULA 4740,0
115,1,LUNAR 4119,ATLAS 4719,0,ATLAS 4719,0,NEBULA 3621,0
116,1,SIGMA 6529,KAPPA 6095,0,KAPPA 6095,0,KAPPA 6095,0
117,1,FALCON 7937,FALCON 7937,1,FALCON 7937,1,NOVA 6861,0
118,1,DELTA 2799,LUNAR 2027,0,LUNAR 2027,0,LUNAR 2027,0
119,1,TANGO 6501,NEBULA 4119,0,NEBULA 4119,0,NEBULA 4119,0
120,1,ORION 9304,NOVA 8815,0,NOVA 8815,0,ATLAS 3699,0
121,1,FALCON 4897,FALCON 4897,1,FALCON 4897,1,FALCON 4897,1
122,1,FALCON 9739,FALCON 9739,1,FALCON 9739,1,FALCON 9739,1
123,1,ORION 4967,NEBULA 5212,0,NEBULA 5212,0,NEBULA 5212,0
124,1,RAVEN 2039,ATLAS 5581,0,ATLAS 5581,0,NEBULA 9461,0
125,1,SIGMA 8635,FALCON 4429,0,FALCON 4429,0,FALCON 4429,0
126,1,ORION 8759,ATLAS 1171,0,ATLAS 1171,0,ATLAS 1171,0
127,1,TANGO 3684,FALCON 5957,0,FALCON 5957,0,EMBER 2031,0
128,1,EMBER 7733,NEBULA 8587,0,NEBULA 8587,0,NEBULA 8587,0
129,1,KAPPA 6328,TANGO 4251,0,TANGO 4251,0,KAPPA 6328,1
130,1,DELTA 5064,EMBER 6281,0,EMBER 6281,0,EMBER 6281,0
131,1,ATLAS 9645,ATLAS 9645,1,ATLAS 9645,1,NEBULA 3087,0
132,1,ATLAS 2988,ATLAS 2988,1,ATLAS 2988,1,EMBER 3295,0
133,1,NEBULA 8160,NEBULA 8160,1,NEBULA 8160,1,NEBULA 8160,1
134,1,EMBER 4660,NEBULA 9871,0,NEBULA 9871,0,EMBER 4660,1
135,1,NEBULA 3760,NEBULA 3760,1,NEBULA 3760,1,NEBULA 3760,1
136,1,NOVA 7848,ATLAS 8354,0,ATLAS 8354,0,TANGO 1127,0
137,1,DELTA 8140,EMBER 5905,0,EMBER 5905,0,EMBER 5905,0
138,1,RAVEN 6968,EMBER 3333,0,EMBER 3333,0,EMBER 3333,0
139,1,ORION 3379,KAPPA 9490,0,KAPPA 9490,0,KAPPA 9490,0
140,1,DELTA 9628,TANGO 7908,0,KAPPA 6876,0,TANGO 7908,0
141,1,NOVA 7286,FALCON 1310,0,FALCON 1310,0,FALCON 1310,0
142,1,EMBER 3916,LUNAR 3281,0,LUNAR 3281,0,LUNAR 3281,0
143,1,TANGO 2836,ATLAS 6329,0,ATLAS 6329,0,ATLAS 6329,0
144,1,NOVA 5870,RAVEN 8829,0,RAVEN 8829,0,RAVEN 8829,0
145,1,FALCON 7169,NEBULA 4116,0,NEBULA 4116,0,NEBULA 4116,0
146,1,TANGO 5225,FALCON 2688,0,FALCON 2688,0,FALCON 2688,0
147,1,LUNAR 2341,NEBULA 7422,0,NEBULA 7422,0,NEBULA 7422,0
148,1,LUNAR 3499,ORION 8078,0,ORION 8078,0,NEBULA 2431,0
149,1,ATLAS 1086,NOVA 6079,0,NOVA 6079,0,NOVA 6079,0
150,1,FALCON 3657,FALCON 3657,1,FALCON 3657,1,FALCON 3657,1
151,1,EMBER 7376,RAVEN 2049,0,RAVEN 2049,0,RAVEN 2049,0
152,1,RAVEN 9726,KAPPA 1732,0,KAPPA 1732,0,KAPPA 1732,0
153,1,EMBER 3955,EMBER 3955,1,EMBER 3955,1,EMBER 3955,1
154,1,LUNAR 9182,ATLAS 1516,0,ATLAS 1516,0,ATLAS 1516,0
155,1,NEBULA 6990,NEBULA 6990,1,NEBULA 6990,1,NEBULA 6990,1
156,1,SIGMA 5167,NEBULA 5095,0,NEBULA 5095,0,NEBULA 5095,0
157,1,SIGMA 9079,FALCON 6698,0,FALCON 6698,0,FALCON 6698,0
158,1,FALCON 2659,FALCON 2659,1,FALCON 2659,1,FALCON 2659,1
159,1,ORION 3908,ATLAS 2120,0,ATLAS 2120,0,ATLAS 2120,0
160,1,LUNAR 2814,NEBULA 8072,0,NEBULA 8072,0,NEBULA 8072,0
161,1,KAPPA 3620,NEBULA 1069,0,NEBULA 1069,0,NEBULA 1069,0
162,1,RAVEN 9803,ATLAS 4853,0,ATLAS 4853,0,ATLAS 4853,0
163,1,LUNAR 4879,NEBULA 9780,0,NEBULA 9780,0,NEBULA 9780,0
164,1,SIGMA 3528,NEBULA 8194,0,NEBULA 8194,0,NEBULA 8194,0
165,1,NEBULA 3722,NEBULA 3722,1,NEBULA 3722,1,NEBULA 3722,1
166,1,LUNAR 8674,KAPPA 8527,0,KAPPA 8527,0,KAPPA 8527,0
167,1,ORION 7946,NOVA 7233,0,NOVA 7233,0,NOVA 7233,0
168,1,NEBULA 2008,NEBULA 2008,1,NEBULA 2008,1,NEBULA 2008,1
169,1,FALCON 2247,FALCON 2247,1,FALCON 2247,1,FALCON 2247,1
170,1,KAPPA 5627,KAPPA 5627,1,KAPPA 5627,1,EMBER 7088,0
171,1,ORION 5523,NOVA 2245,0,NOVA 2245,0,SIGMA 4894,0
172,1,DELTA 4022,RAVEN 1048,0,RAVEN 1048,0,RAVEN 1048,0
173,1,KAPPA 3228,NEBULA 2705,0,NEBULA 2705,0,NEBULA 2705,0
174,1,SIGMA 6419,FALCON 7208,0,FALCON 7208,0,FALCON 7208,0
175,1,EMBER 5254,EMBER 1797,0,EMBER 1797,0,EMBER 1797,0
176,1,RAVEN 4779,NEBULA 2063,0,NEBULA 2063,0,NEBULA 2063,0
177,1,RAVEN 9969,ATLAS 7113,0,ATLAS 7113,0,ATLAS 7113,0
178,1,LUNAR 8633,LUNAR 8633,1,LUNAR 8633,1,LUNAR 8633,1
179,1,LUNAR 3612,LUNAR 3161,0,LUNAR 3161,0,LUNAR 3161,0
180,1,LUNAR 8367,NEBULA 9456,0,NEBULA 9456,0,NEBULA 9456,0
181,1,ATLAS 9694,ATLAS 7131,0,ATLAS 7131,0,NEBULA 1290,0
182,1,TANGO 1499,ATLAS 8451,0,ATLAS 8451,0,TANGO 1499,1
183,1,KAPPA 9270,FALCON 9466,0,FALCON 9466,0,FALCON 9466,0
184,1,FALCON 4239,FALCON 4239,1,FALCON 4239,1,FALCON 4239,1
185,1,NEBULA 7249,NEBULA 7249,1,NEBULA 7249,1,NEBULA 7249,1
186,1,EMBER 1571,ATLAS 1296,0,ATLAS 1296,0,ATLAS 1296,0
187,1,DELTA 5265,TANGO 1506,0,TANGO 1506,0,TANGO 1506,0
188,1,DELTA 8471,NEBULA 9402,0,NEBULA 9402,0,NEBULA 9402,0
189,1,KAPPA 6940,ATLAS 5818,0,ATLAS 5818,0,KAPPA 6311,0
190,1,NEBULA 7246,FALCON 1483,0,FALCON 1483,0,FALCON 1483,0
191,1,ATLAS 5482,ATLAS 5482,1,ATLAS 5482,1,ATLAS 5482,1
192,1,DELTA 5243,TANGO 7701,0,TANGO 7701,0,TANGO 7701,0
193,1,NEBULA 2414,FALCON 4334,0,FALCON 4334,0,NEBULA 2414,1
194,1,ATLAS 6858,ATLAS 6858,1,ATLAS 6858,1,RAVEN 1041,0
195,1,NEBULA 6315,FALCON 8113,0,FALCON 8113,0,NEBULA 6315,1
196,1,EMBER 3892,KAPPA 5353,0,KAPPA 5353,0,EMBER 3892,1
197,1,TANGO 8913,ATLAS 2611,0,ATLAS 2611,0,ATLAS 2611,0
198,1,NEBULA 5047,NEBULA 5047,1,NEBULA 5047,1,NEBULA 5047,1
199,1,KAPPA 4315,DELTA 9095,0,DELTA 9095,0,DELTA 9095,0
200,1,ORION 7443,ATLAS 8209,0,ATLAS 8209,0,ATLAS 8209,0
201,2,EMBER 1097,FALCON 9420,0,FALCON 9420,0,FALCON 9420,0
202,2,ORION 5276,RAVEN 2811,0,RAVEN 2811,0,RAVEN 2811,0
203,2,TANGO 9257,NEBULA 2409,0,NEBULA 2409,0,NEBULA 2409,0
204,2,ORION 7061,ORION 7061,1,ORION 7061,1,ORION 7061,1
205,2,ATLAS 1086,ATLAS 1086,1,ATLAS 1086,1,ATLAS 1086,1
206,2,NOVA 6487,ATLAS 7482,0,ATLAS 7482,0,ATLAS 7482,0
207,2,FALCON 4720,FALCON 4720,1,FALCON 4720,1,FALCON 4720,1
208,2,EMBER 7093,FALCON 4371,0,FALCON 4371,0,EMBER 7093,1
209,2,SIGMA 6466,RAVEN 7411,0,RAVEN 7411,0,RAVEN 7411,0
210,2,LUNAR 1740,NOVA 3753,0,NOVA 3753,0,LUNAR 1740,1
211,2,EMBER 9137,DELTA 2711,0,DELTA 2711,0,EMBER 4692,0
212,2,NEBULA 4708,NEBULA 4708,1,NEBULA 4708,1,NEBULA 4708,1
213,2,RAVEN 9840,ATLAS 6360,0,ATLAS 6360,0,RAVEN 9840,1
214,2,SIGMA 5018,NEBULA 5521,0,NEBULA 5521,0,NEBULA 5521,0
215,2,RAVEN 5546,FALCON 3359,0,FALCON 3359,0,FALCON 3359,0
216,2,TANGO 5026,FALCON 1224,0,FALCON 1224,0,FALCON 1224,0
217,2,FALCON 7979,FALCON 7979,1,FALCON 7979,1,FALCON 7979,1
218,2,LUNAR 5030,NEBULA 2696,0,NEBULA 2696,0,NEBULA 2696,0
219,2,RAVEN 8747,FALCON 2415,0,FALCON 2415,0,FALCON 2415,0
220,2,ATLAS 3643,FALCON 4040,0,FALCON 4040,0,FALCON 4040,0
221,2,RAVEN 3279,EMBER 3141,0,EMBER 3141,0,EMBER 3141,0
222,2,NOVA 3261,FALCON 7283,0,FALCON 7283,0,FALCON 7283,0
223,2,LUNAR 2921,NEBULA 9016,0,NEBULA 9016,0,NEBULA 7386,0
224,2,DELTA 5592,NEBULA 3653,0,NEBULA 3653,0,NEBULA 3653,0
225,2,ATLAS 8595,ATLAS 8595,1,ATLAS 8595,1,RAVEN 6038,0
226,2,TANGO 1749,NEBULA 3204,0,NEBULA 3204,0,NEBULA 3204,0
227,2,NOVA 4701,FALCON 2247,0,FALCON 2247,0,FALCON 2247,0
228,2,NOVA 8854,FALCON 5796,0,FALCON 5796,0,FALCON 5796,0
229,2,DELTA 7902,RAVEN 8897,0,RAVEN 8897,0,RAVEN 8897,0
230,2,ORION 1729,KAPPA 1122,0,KAPPA 1122,0,KAPPA 1122,0
231,2,ORION 9246,FALCON 5821,0,FALCON 5821,0,FALCON 5821,0
232,2,DELTA 2608,NOVA 5715,0,NOVA 5715,0,TANGO 2980,0
233,2,LUNAR 9670,ATLAS 3351,0,ATLAS 3351,0,RAVEN 2468,0
234,2,DELTA 1339,NOVA 3031,0,NOVA 3031,0,NOVA 3031,0
235,2,KAPPA 3795,FALCON 7691,0,FALCON 7691,0,FALCON 7691,0
236,2,SIGMA 4890,EMBER 3255,0,EMBER 3255,0,EMBER 3255,0
237,2,TANGO 2331,KAPPA 2548,0,KAPPA 2548,0,TANGO 2331,1
238,2,NOVA 9819,ORION 7079,0,ORION 7079,0,RAVEN 1489,0
239,2,TANGO 3604,ATLAS 4004,0,ATLAS 4004,0,ATLAS 4004,0
240,2,DELTA 7624,ATLAS 1193,0,ATLAS 1193,0,ATLAS 1193,0
241,2,EMBER 3408,EMBER 5916,0,EMBER 5916,0,RAVEN 4464,0
242,2,RAVEN 1549,ATLAS 7243,0,NEBULA 2784,0,NEBULA 2784,0
243,2,KAPPA 2244,KAPPA 2244,1,KAPPA 2244,1,EMBER 4543,0
244,2,FALCON 5832,FALCON 5832,1,FALCON 5832,1,FALCON 5832,1
245,2,LUNAR 2657,FALCON 3557,0,FALCON 3557,0,NEBULA 5434,0
246,2,ORION 5479,KAPPA 7614,0,KAPPA 7614,0,KAPPA 7614,0
247,2,LUNAR 7293,FALCON 6214,0,FALCON 6214,0,FALCON 6214,0
248,2,NEBULA 4205,NEBULA 4205,1,NEBULA 4205,1,NEBULA 4205,1
249,2,LUNAR 6964,ATLAS 9589,0,ATLAS 9589,0,LUNAR 6964,1
250,2,TANGO 3748,KAPPA 1079,0,KAPPA 1079,0,KAPPA 1079,0
251,2,NEBULA 6103,NEBULA 6103,1,NEBULA 6103,1,NEBULA 6103,1
252,2,KAPPA 7757,LUNAR 5417,0,LUNAR 5417,0,LUNAR 5417,0
253,2,DELTA 1776,KAPPA 7092,0,KAPPA 7092,0,KAPPA 7092,0
254,2,SIGMA 2697,RAVEN 5981,0,RAVEN 5981,0,RAVEN 5981,0
255,2,FALCON 2217,FALCON 2217,1,FALCON 2217,1,FALCON 2217,1
256,2,ORION 6028,NOVA 7519,0,LUNAR 4675,0,LUNAR 4675,0
257,2,LUNAR 4207,LUNAR 4207,1,LUNAR 4207,1,LUNAR 4207,1
258,2,KAPPA 4832,KAPPA 4832,1,KAPPA 4832,1,KAPPA 4832,1
259,2,KAPPA 5902,KAPPA 5902,1,KAPPA 5902,1,KAPPA 5902,1
260,2,EMBER 7805,NEBULA 2078,0,NEBULA 2078,0,NEBULA 2078,0
261,2,EMBER 7345,ATLAS 1323,0,ATLAS 1323,0,NEBULA 5616,0
262,2,TANGO 7250,RAVEN 1848,0,RAVEN 1848,0,RAVEN 1848,0
263,2,DELTA 1312,NEBULA 7642,0,NEBULA 7642,0,NEBULA 7642,0
264,2,ATLAS 2480,ATLAS 2480,1,ATLAS 2480,1,ATLAS 2480,1
265,2,EMBER 3386,TANGO 1731,0,TANGO 1731,0,LUNAR 6414,0
266,2,FALCON 1224,FALCON 1224,1,FALCON 1224,1,FALCON 1224,1
267,2,ORION 4601,ATLAS 1344,0,ATLAS 1344,0,ATLAS 1344,0
268,2,NEBULA 5340,NEBULA 5340,1,NEBULA 5340,1,NEBULA 5340,1
269,2,LUNAR 7154,LUNAR 3833,0,LUNAR 3833,0,LUNAR 3833,0
270,2,ORION 5204,FALCON 1445,0,FALCON 1445,0,FALCON 1445,0
271,2,NEBULA 2681,NEBULA 2681,1,NEBULA 2681,1,NEBULA 2681,1
272,2,LUNAR 2765,LUNAR 2765,1,LUNAR 2765,1,LUNAR 2765,1
273,2,FALCON 8626,FALCON 8626,1,FALCON 8626,1,NEBULA 2471,0
274,2,KAPPA 9178,NEBULA 3799,0,NEBULA 3799,0,NEBULA 3799,0
275,2,DELTA 5817,EMBER 8530,0,EMBER 8530,0,EMBER 8530,0
276,2,NOVA 5385,TANGO 6891,0,TANGO 6891,0,TANGO 6891,0
277,2,KAPPA 6894,ATLAS 3317,0,ATLAS 3317,0,KAPPA 6894,1
278,2,ORION 3919,NEBULA 5607,0,NEBULA 5607,0,NEBULA 3068,0
279,2,SIGMA 3917,TANGO 1701,0,TANGO 1701,0,TANGO 1701,0
280,2,SIGMA 5785,TANGO 4407,0,TANGO 4407,0,TANGO 4407,0
281,2,NEBULA 8939,ATLAS 3730,0,ATLAS 3730,0,NEBULA 8939,1
282,2,RAVEN 9189,ATLAS 4281,0,ATLAS 4281,0,ATLAS 4281,0
283,2,TANGO 8568,NOVA 8348,0,NOVA 8348,0,TANGO 8568,1
284,2,TANGO 9852,EMBER 7866,0,EMBER 7866,0,EMBER 7866,0
285,2,TANGO 6065,NEBULA 6175,0,NEBULA 6175,0,NEBULA 6175,0
286,2,TANGO 2041,ATLAS 4425,0,ATLAS 4425,0,ATLAS 4425,0
287,2,TANGO 3820,TANGO 3820,1,LUNAR 8560,0,LUNAR 8560,0
288,2,FALCON 8541,FALCON 8541,1,FALCON 8541,1,FALCON 8541,1
289,2,KAPPA 2919,NEBULA 3819,0,NEBULA 3819,0,NEBULA 3819,0
290,2,FALCON 8447,ATLAS 9164,0,FALCON 8447,1,LUNAR 1036,0
291,2,NOVA 8277,NOVA 8277,1,NOVA 8277,1,NOVA 8277,1
292,2,NOVA 9050,RAVEN 1575,0,RAVEN 1575,0,RAVEN 1575,0
293,2,NOVA 7225,FALCON 8601,0,FALCON 8601,0,FALCON 8601,0
294,2,ATLAS 2162,FALCON 7311,0,FALCON 7311,0,EMBER 4861,0
295,2,LUNAR 9595,FALCON 9646,0,FALCON 9646,0,FALCON 9646,0
296,2,ATLAS 8028,ATLAS 8028,1,ATLAS 8028,1,RAVEN 1243,0
297,2,NOVA 7759,RAVEN 1822,0,RAVEN 1822,0,RAVEN 1822,0
298,2,NOVA 6523,NOVA 6523,1,LUNAR 2860,0,LUNAR 2860,0
299,2,RAVEN 3966,FALCON 2211,0,FALCON 2211,0,FALCON 2211,0
300,2,NOVA 1058,RAVEN 9091,0,RAVEN 9091,0,RAVEN 9091,0
301,4,DELTA 6631,NEBULA 2064,0,NEBULA 2064,0,NEBULA 2064,0
302,4,ORION 4214,ATLAS 4149,0,ATLAS 4149,0,ATLAS 4149,0
303,4,EMBER 2725,KAPPA 4305,0,KAPPA 4305,0,EMBER 2725,1
304,4,RAVEN 9276,RAVEN 3709,0,RAVEN 3709,0,RAVEN 3709,0
305,4,NOVA 8260,NEBULA 2082,0,NEBULA 2082,0,NEBULA 2082,0
306,4,SIGMA 6798,NEBULA 1297,0,NEBULA 1297,0,NEBULA 1297,0
307,4,ORION 8751,FALCON 1193,0,FALCON 1193,0,FALCON 1193,0
308,4,NOVA 4010,NOVA 4010,1,NOVA 4010,1,NOVA 4010,1
309,4,FALCON 8394,FALCON 8394,1,FALCON 8394,1,EMBER 2885,0
310,4,KAPPA 3598,FALCON 8330,0,FALCON 8330,0,FALCON 8330,0
311,4,TANGO 3194,TANGO 5963,0,TANGO 5963,0,TANGO 5963,0
312,4,ATLAS 2342,ATLAS 2342,1,ATLAS 2342,1,ATLAS 2342,1
313,4,TANGO 6591,FALCON 5284,0,FALCON 5284,0,FALCON 5284,0
314,4,NEBULA 6964,FALCON 9820,0,FALCON 9820,0,NEBULA 6964,1
